scorer,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
52,380.1958923339844,337.7763366699219,0.9985106587409973,369.02899169921875,332.27874755859375,0.9978355765342712,355.74249267578125,326.52081298828125,0.9993608593940735,349.1157531738281,327.4967041015625,0.998784601688385
53,380.403076171875,338.1373596191406,0.9983553290367126,370.3822937011719,332.1905517578125,0.9976662397384644,355.0426330566406,325.7864685058594,0.9989510774612427,348.0043029785156,327.0751647949219,0.9983819723129272
54,381.1458740234375,337.93560791015625,0.9987779259681702,370.48663330078125,332.5836181640625,0.9981991648674011,356.3834533691406,326.2996520996094,0.999174177646637,350.02740478515625,326.99932861328125,0.9988048076629639
55,381.4171447753906,337.07952880859375,0.998448371887207,370.28314208984375,332.2442932128906,0.9979702830314636,356.5550231933594,326.3299560546875,0.9991214871406555,349.8182373046875,327.17950439453125,0.999110758304596
56,381.1324768066406,335.8213806152344,0.9986227750778198,369.69549560546875,330.42608642578125,0.9976314306259155,355.0564270019531,325.5686340332031,0.9994105100631714,349.2920837402344,326.86566162109375,0.9992837309837341
57,380.905517578125,337.8696594238281,0.9988133907318115,370.3959045410156,331.5270080566406,0.9974080920219421,356.0340270996094,325.5638732910156,0.9989870190620422,349.8232421875,327.0123596191406,0.9987732768058777
58,380.3421630859375,338.95941162109375,0.9989197254180908,370.08392333984375,332.75897216796875,0.9984696507453918,356.6236877441406,326.49383544921875,0.9991894364356995,349.599365234375,327.3316345214844,0.9989977478981018
59,379.8475646972656,340.5950927734375,0.9989026784896851,371.0976257324219,333.1054382324219,0.9988534450531006,357.0993957519531,326.4907531738281,0.9993985891342163,351.0654296875,327.08087158203125,0.9995253086090088
60,381.2614440917969,339.0889587402344,0.9989437460899353,371.6768493652344,332.97637939453125,0.9981958270072937,359.07879638671875,327.8726501464844,0.9975321292877197,350.2098388671875,327.72015380859375,0.9980579018592834
61,380.4452209472656,339.8763122558594,0.9990527033805847,370.6842041015625,333.00836181640625,0.9987296462059021,357.31427001953125,326.3324279785156,0.9994254112243652,350.964599609375,327.0165100097656,0.999461829662323
